篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
药食同源话葛根,马林,"药食同源植物,葛根,神农本草经,本草经集注,蓝紫色,性味功能,藤本植物,历史沿革,陶弘景,栽培,野生,新疆,西藏,山坡,青海,木质,描述,块状,境内,江西","葛根也称野葛、柴葛,为藤本植物,长约米,生于山坡草丛路旁及疏林中较阴湿的地方,除新疆、青海及西藏外,几乎遍布全国.葛根全株被黄褐色长硬毛;茎基部木质,有粗厚的块状根;总状花序腋生,花密集,蝶形花为蓝紫色或紫色;栽培或野生于山野灌丛和疏林中._xD_
葛根的历史沿革及分布_xD_
葛根作为药食同源植物的记载最早出现在《神农本草经》中,但书中仅简单地记载了葛根的性味功能.梁代的陶弘景在《神农本草经集注》里有如下描述:""即今之葛根,人皆蒸食之"",""南康、庐陵(现在江西境内)最胜,多肉丽少筋,甘美"".",葛根,葛根
人参药食同源迎来发展新契机,孙静,"人参,供大于求,新资源食品,人工种植,药食同源,产量递减,需求量,卫生部,库存量,行情,售价,市场,时代,上市,林地,价格,多药,动量,参根","抚松人参市场水参大量上市,水参每日平均走动量在吨左右,水参价格也较去年有所上涨,每斤水参上涨～元,水参根据其个子的大小售价在～元/公斤不等.近期卫生部发布:人参(人工种植)为新资源食品,加之正值人参产新,人参后世行情的变动,牵动着较多药商的心!_xD_
人参产量递减_xD_
正常年份,人参产新量在吨左右,但是随着可种植人参的林地的减少,人参产量也在逐年减产.目前,全国人参库存量在吨左右,而近年人参年需求量在～吨,这意味着人参存在着供大于求的局面.但随着人参药食同源时代的来临,这种供大于求的局面将被打破.",人参,人参
药食同源品中重金属的检测方法与思考,"孙艳,赵余庆","药食同源品,重金属,检测分析,质量控制,安全性","年卫生部发布“既是食品又是药品的物品名单”,即规定种药食同源品可以作为我国保健食品的原料.这些药食同源品的功效成分已有大量研究,但有关其中的重金属检测研究相对较少.而食品安全和保健食品的质量控制是当前国内外关注和需要迫切解决的问题.总结了重金属的多种检测方法,同时就已报道的药食同源品中汞、砷、铅和镉的检测数据进行统计,分析目前的检测现状及存在的问题,为药食同源品作为保健食品的原料选用和质量控制及安全使用提供依据.",铅,铅
药食同源话核桃,王晨,"药食同源,核桃仁,智力发育,营养价值,营养成分,医药学家,身体发育,少年儿童,开发利用,健康长寿,补气养血,保健作用,维生素,李时珍,老年人,资料,中医,孕期,婴儿,药补","我国是核桃原产国之一,开发利用较早,对核桃营养价值的认识更深.中医有“药食同源”的理论,强调“药补不如食补”.唐代名医孟诜说,核桃仁“通经脉”,常服“骨肉细腻光润”;明代医药学家李时珍说,核桃仁有“补气养血,润燥化痰,益命门,利三焦,温肺润肠”等功用.从现有资料中看出,核桃对各种年龄的人都有程度不同的保健作用.妇女怀孕期常吃核桃,婴儿身体发育良好,头顶囟门能提早闭合.核桃仁中浓缩的营养成分（包含几种维生素）,对少年儿童的身体和智力发育大有裨益.核桃有益于老年人健康长寿.",核桃仁,核桃仁
氢化物发生-原子荧光法同时测定药食同源药材中痕量锡和铋,"金波,马辰","氢化物发生-原子荧光光度法,锡,铋,药食同源药材","目的:建立氢化物发生-原子荧光法同时测定药食同源药材中锡和铋的分析方法.方法:以比色管作消化容器,硝酸-高氯酸-硫酸湿法消解药材,以酒石酸为测定介质,优化载流、硼氧化钠浓度、掩蔽剂等条件,氢化物发生-原子荧光光度法测定锡铋含量.结果:锡和铋的检出限为.ng/ml和.ng/ml,锡回收率和精密度分别为.%～.%和.%,铋回收率和精密度分别为.%～.%和.%.结论:所建方法重现性好、简便快速,适合于药材中锡铋的检测.",锡,锡
食药同源中药制剂对乳酸菌体外生长的影响,"刘燕,钟武杰,林捷","食药同源中药制剂,乳酸菌,体外生长","采用试管二倍稀释法和牛津杯琼脂点扩散交叉拮抗法,分析了补中益气丸、参苓白术片、归脾丸和健胃消食片四种食药同源类中药制剂对嗜热链球菌、屎肠球菌、肠链球菌、瑞士乳杆菌和植物乳杆菌五种乳酸菌生长的影响.结果表明,四种中药水提液对嗜热链球菌的生长均有不同程度的促进作用,其中参芩白术片浓度在.～.mg/mL时增菌作用最突出;四种中药水提液均抑制屎肠球菌和肠链球菌两种肠球菌的生长;浓度为.mg/mL的补中益气丸和.mg/mL的归脾丸分别对瑞士乳杆菌和植物乳杆菌有促进作用,其它浓度的中药水提液都抑制两种菌的生长.",白术,白术
能够研发运动饮料的药食同源蔬菜的调查研究,金太龙,"运动饮料,药食同源,保健价值","综述了百合、枸杞、牛蒡、山药、玉竹、芦笋等典型药食同源蔬菜的传统医疗价值、现代科学认识及其医疗保健价值,为能够研发以药食同源蔬菜为基础原料的运动饮料提供理论依据.","百合, 枸杞, 牛蒡, 山药, 玉竹, 芦笋","百合, 枸杞, 牛蒡, 山药, 玉竹, 芦笋"
种药食同源中药中重金属元素铅与镉的测定,"刘岭,贺浪冲,梁晓聪,王辛,习昭燕,王江","药食同源/中药,光谱分析,质量","目的:测定常用种药食同源中药(决明子、枸杞子、荷叶、桔梗、蒲公英)中重金属Pb、Cd的含量.方法:采用原子吸收分光光度计法测定.结果:种中药重金属Pb,Cd含量依次为:决明子含Pb.mg·Kg-～.mg·Kg-,Cd.mg·Kg-～.mg·Kg-;枸杞子含Pb.mg·Kg-～.mg·Kg-,Cd.mg·Kg-～.mg·Kg-;荷叶含Pb.mg·Kg-～.mg·Kg-;Cd.mg·Kg-～.mg·Kg-;桔梗含Pb.mg·Kg-～.mg·Kg-,Cd.mg·Kg-～.mg·Kg-;蒲公英含Pb.mg·Kg-～.mg·Kg-,Cd.mg·Kg-～.mg·Kg-.结论:种药食同源中药中都含有一定的重金属Pb和Cd,蒲公英中铅的含量最高,枸杞子中铅的含量相对较低,荷叶中镉的含量相对较低.","决明子, 枸杞子, 荷叶, 桔梗, 蒲公英, 铅","决明子, 枸杞子, 荷叶, 桔梗, 蒲公英, 铅"
医药健康-养生鹿酒诠释药食同源,文之,"医药,人体健康,养生,诠释,生物活性物质,生物工程技术,中医理论,有限公司,药食同源,母液,健康长寿,中国人,发明人,组织,专利,制作,原料,药品,四川,全身","我国历来有""药食同源""的养生理念.鹿骨、鹿血、鹿胎制作的酒及药品有利于人体健康.四川康壮酒业有限公司的专利发明人陈宗卿在中医理论的指导下,以鹿为基本动物原料,采用生物工程技术,将鹿全身组织完全酶解成具有生物活性物质的母液,再将母液与糯米发酵,制成低度养生系列酒,从而为中国人健康长寿提供了一个新品——养生鹿酒.","鹿骨, 鹿血, 鹿胎, 酒, 糯米","鹿骨, 鹿血, 鹿胎, 酒, 糯米"
药食同源类植物多糖降血糖功效的研究进展,"张晓寒,张程慧,于文睿,薛婉茹,佟彤,孙嘉璘,冯叙桥","药食同源类植物多糖,降血糖,利用途径","植物多糖具有良好的降血糖功效,通过促进胰岛素分泌、改善胰岛素抵抗,调节相关酶活性,改善糖、蛋白质及脂肪代谢紊乱,促进肝糖元合成、抑制糖异生,增进免疫系统功能和抗氧化作用等多种途径发挥降血糖功能.目前,报道来源于中药的多糖已超过种,且它们中的大部分都是从植物中分离提纯得到的.随着人们对植物多糖研究的深入,利用其开发制作安全经济的天然类降血糖产品得到越来越多的关注.本文综述了桑叶多糖、南瓜多糖、苦瓜多糖、山药多糖、茶多糖的降血糖功效,并提出了降血糖植物多糖的利用途径,展望了将植物多糖降血糖功效应用于糖尿病治疗的前景,以期为植物多糖降血糖功效的研究和利用以及天然降血糖食品的开发提供参考.","桑叶, 南瓜, 苦瓜, 山药","桑叶, 南瓜, 苦瓜, 山药"
药食同源中药降血糖,江发科,"降血糖,药食同源,玉竹多糖,中药,《本草正义》,现代药理研究,百合科植物,心血管系统",．玉竹本品为百合科植物玉竹的干燥根茎。有养阴润燥、生津止渴的功效。《本草正义》称其对胃火炽盛、燥渴消谷、多食易饥者有捷效。现代药理研究玉竹有降血糖、提高免疫力、改善心血管系统、抗肿瘤、抗衰老等作用。有学者从玉竹水提取物中分离出玉竹多糖并研究其降糖作用。结果表明，玉竹多糖对高血糖大鼠血糖有显著抑制作用，并呈良好的量效关系.,玉竹,玉竹
药食同源中药黄精基于临床应用的研究进展,"姚萌,吴倩,刘石峰,沈建良,黄鸿亮,龚力民,王炜,李斌,彭彩云","黄精,药食同源,临床应用,中药,PolygonatiRhizoma,Homologous,ClinicalApplication,TraditionalChineseMedicine",黄精是一种应用广泛的药食同源植物，在中国已有几千年的药用历史，具有健脾益肾、滋阴润肺的功效。黄精的主要活性成分包括多糖、皂苷、黄酮及其他类型。现代药理研究表明，黄精具有抗氧化、改善学习和记忆功能、降低血糖和血脂、增强免疫系统、抗菌、抗病毒、抗肿瘤、抗抑郁等多种活性，在临床应用于糖尿病和动脉粥样硬化等疾病的治疗。本文分析整理了近多年来黄精临床应用研究进展，以期为黄精药材的进一步研究开发和利用提供依据。,黄精,黄精
药食同源的红色食物,高峰,"药食同源,红色,血红素铁,缺铁性贫血,组成成分,血红蛋白,内脏,肌红蛋白,红肉,二氧化碳,注意力,育龄期,血豆腐,铁含量,利用率,发病率,抵抗力,运输,氧气,颜色","红肉、动物内脏、血豆腐等,富含血红素铁.铁在体内主要作为血红蛋白、肌红蛋白的组成成分,参与氧气和二氧化碳的运输.缺铁导致的缺铁性贫血,在老人和育龄期的妇女等人群中发病率较高.轻度的缺铁性贫血表现为容易疲乏、注意力下降、怕冷、抵抗力下降等.膳食中的铁分为两类,其中红肉和内脏中的“血红素铁”的吸收利用率较高.一般来说,肉类的颜色越红,其血红素铁含量就越高.",铁,铁
药食同源用途广泛的茯苓,杨相国,"药食同源,用途广泛,茯苓多糖,人体免疫功能,神农本草经,滋补作用,中医方剂,中药,心脾两虚,现代研究,麦角甾醇,临床应用,抗癌功效,保健食品,组氨酸,食疗方,卵磷脂,蛋白质,蛋白酶,制作","茯苓是一味最为常用的中药,又是一味滋补佳食.它药性缓和,补而不峻,利而不猛,既能扶正,又能驱邪.《神农本草经》将它列为上品,说它“久服安魂养神,不饥延年.”我国自汉唐以来,有记载的多个中医方剂中,茯苓的处方就占/.中医认为茯苓是临床应用最为广泛的中药.茯苓的主要成分为茯苓多糖,还含有蛋白质、糖、蛋白酶、脂肪、麦角甾醇、组氨酸、卵磷脂、钙、钠、钾、锌等.现代研究证实,茯苓多糖不仅能增强人体免疫功能,具有较强的抗癌功效,而且还具有较强的利尿和滋补作用.茯苓味甘性平,最适合人们在家制作保健食品.下面介绍几款茯苓药膳:_xD_
治心脾两虚、小便不利.食疗方:茯苓大枣粥.","茯苓, 麦角, 大枣","茯苓, 麦角, 大枣"
药食同源——蒲公英,王桂真,"药食同源,蒲公英,预防肝硬化,水盐平衡,助消化,贫血症,利尿剂,矿物质,蛋黄素,增强,心率,体内,缺铁,功效,功能,调节","蒲公英功效_xD_
蒲公英是天然的利尿剂和助消化圣品.蒲公英含有丰富的矿物质,不仅能帮助预防缺铁引起的贫血症,而且它的大量钾成分还可以和钠一起共同调节体内的水盐平衡,并使心率正常,蒲公英含有丰富的蛋黄素,可以预防肝硬化,增强肝和胆的功能.",蒲公英,蒲公英
药食同源话牛蒡,臧海洋,"药食同源,牛蒡子,肉质根,牛蒡根,碳水化合物,治疗便秘,预防中风,营养价值,血液循环,现代医学,纤维素,食用价值,胡萝卜素,大肠蠕动,元素钙,维生素,高血压,防衰老,低血糖,蛋白质","牛蒡别名牛蒡子、东洋参等,为菊科草本直根类植物,是一种以肥大肉质根供食用的蔬菜,叶柄和嫩叶也可食用,牛蒡子和牛蒡根还可入药,具有较好的药用、食用价值._xD_
牛蒡的肉质根营养价值高,含丰富的蛋白质、碳水化合物、脂肪、纤维素、胡萝卜素、维生素,以及矿物元素钙、磷、铁等.经常食用牛蒡根有促进血液循环、防衰老、润泽肌肤、预防中风和高血压、降低血糖等作用.现代医学认为,牛蒡具有利尿、消积、祛痰止泄等作用,其纤维可促进大肠蠕动,治疗便秘,降低体内胆固醇.","牛蒡, 牛蒡子, 东洋参, 牛蒡根","牛蒡, 牛蒡子, 东洋参, 牛蒡根"
药食同源话葡萄,张汉武,"药食同源,葡萄汁,纯天然,血小板凝集,营养成分,矿物质钙,胡萝卜素,白藜芦醇,无核白,维生素,葡萄糖,玫瑰香,硫胺素,科学家,核黄素,含糖量,蛋白质,胆固醇,市场,上市","秋天,正是葡萄大量上市的季节.市场常见的葡萄,有""龙眼""""玫瑰香""""牛奶""""无核白""等._xD_
葡萄含糖量高,以葡萄糖为主.其营养成分有蛋白质、硫胺素、核黄素、胡萝卜素、矿物质钙、钾、磷、铁以及维生素B族等.近年国外科学家发现,葡萄汁肉还富含一种纯天然胆固醇及纯天然抗血小板凝集物质——白藜芦醇.","葡萄, 铁","葡萄, 铁"
药食同源话荔枝,萤烛,"药食同源,大脑组织,多种营养素,增强记忆,荔枝,大脑皮质,需能量,镇静,人体,疲劳,功效,补养,补脑",荔枝的功效和作用补脑荔枝富含多种营养素，能为人体补充所需能量，可补养大脑组织，镇静大脑皮质，有利于增强记忆、减轻大脑紧张疲劳。,荔枝,荔枝
酸梅汤——中医药食同源的典范之作,龚爱琴,"酸梅汤,中医,药食同源,乌梅,清凉饮料,民间传统,本草纲目,铁粉,生津,清热,青梅,男女,历史,功效","酸梅汤是我国民间传统的清凉饮料,有着悠久的历史.炎炎夏日里,无论你走到哪里,都有卖浓浓的酸梅汤的铺子在等着你,酸酸甜甜,男女老少皆宜,不管你是不是酸梅汤的铁粉,你一定都喝过酸梅汤.但很多人只知道它能解暑,却不了解酸梅汤的好处远不止于此._xD_
以下总结了酸梅汤不同寻常的大作用:_xD_
解暑:《本草纲目》言:“梅实采半黄者,以烟熏之为乌梅”.乌梅的功效之一是生津,“望梅止渴”的青梅就是乌梅的前身._xD_
消热:暑气最大的特点就是炎热消津耗液,酸梅汤正好清热兼以酸甘养阴.","铁粉, 乌梅, 青梅","铁粉, 乌梅, 青梅"
药食同源的草果,"周景春,朱福典","药食同源,草果,姜科植物,干燥成熟,果实,果仁,别名",草果，别名草果仁、草果子，为姜科植物草果的干燥成熟果实。,草果,草果
药食同源话山药,本刊编辑部,"药食同源,山药,史料记载,脾胃虚弱,本草纲目,周王室,健脾胃,诸侯,治疗,泄泻,泄痢,肾气,皮毛,名医,化痰,贡品,功效,病症","名医偏爱山药
<br>有史料记载，在公元前多年，各诸侯把它当作贡品，进贡给周王室。《本草纲目》中概括了山药的五大功效“益肾气，健脾胃，止泄痢，化痰涎，润皮毛”，即山药可治疗脾胃虚弱、泄泻、体倦、食少、虚汗等病症。",山药,山药
药食同源植物罗勒栽培技术,赫云建,"药食同源植物,罗勒精油,唇形科植物,活血解毒,潮湿环境,草本植物,罗勒子,金不换,挥发油,株高,行气,消食,香味,土壤,提取,嫩叶,耐旱,耐寒,绿色,化湿","罗勒为唇形科植物，年生草本植物，全体芳香，别名九层塔\金不换。株高~厘米，叶对生\淡绿色，不耐寒，不耐旱，喜温暖潮湿环境；对土壤要求不严。罗勒全株入药，含挥发油，性味辛温，有疏风行气\化湿消食\活血解毒的功效。罗勒食用部分为嫩梢和嫩叶,可凉拌\做馅\炒食等，香味独特，罗勒子可以提取罗勒精油。","罗勒, 金不换, 罗勒子","罗勒, 金不换, 罗勒子"
药食同源的虫草参--访山东省济南市金西李农业开发有限公司顾问郭祥宽,黄洁,"药食同源,虫草,山东省,济南市,农业开发,顾问,冬虫夏草,名贵中药材,中国传统,药用价值,保健作用,保健效果,博览会,仙草,食品,人民,产品,产量",冬虫夏草作为九大“仙草”之一，是中国传统的名贵中药材，一直以来，因其较明显的保健效果和较少的产量倍受人们追捧。而虫草参与冬虫夏草又有所不同，它的保健作用和药用价值不低于冬虫夏草，广受人们喜爱。近日在京举行的世界食品博览会上，济南金西李农业开发有限公司的顾问郭祥宽为京城人民带来了他所研发培育的虫草参产品。,"冬虫夏草, 李","冬虫夏草, 李"
药食同源疗鼻炎,秦龙,"药食同源,流清涕,鼻炎,黏膜下组织,炎症,芫荽,食疗方,生姜,咳嗽,粳米,红枣,风寒型,葱白,鼻塞,鼻腔黏膜,煮粥,中药,症状,咽痛,水肿","鼻炎是鼻腔黏膜和黏膜下组织的炎症,表现为充血或水肿,患者经常会出现鼻塞、流清涕、鼻痒、喉部不适、咳嗽等症状.中药加食疗的方法对鼻炎有一定的辅治作用._xD_
风寒型鼻炎症见鼻塞,喷嚏,流清涕,咳嗽,咽痛,恶风寒,身痛,舌质淡红,苔薄白,脉浮紧._xD_
食疗方:红枣枚(去核),葱白根,芫荽克,生姜克,粳米克.将粳米、生姜、红枣先煮粥,粥成后,加入葱白、芫荽调味服用,每日次.","红枣, 葱白, 芫荽, 生姜, 粳米","红枣, 葱白, 芫荽, 生姜, 粳米"
药食同源话萱草,余文海,"药食同源,黄花菜",萱草，人们通常习惯叫它“黄花”或“黄花菜”。,黄花菜,黄花菜
药食同源产品之卖点,"王兴雷,赵安琪","药食同源,产品,白扁豆,紫苏籽,原料管理,酸枣仁,保健食品,八角茴香,郁李仁,鱼腥草,余甘子,薏苡仁,益智仁,小茴香,乌梢蛇,卫生部,肉豆蔻,蒲公英,胖大海,马齿苋","按照《卫生部关于进一步规范保健食品原料管理的通知(卫法监发号)》里列出的""既是食品又是药品的物品名单"",这类品种共有种:丁香、八角茴香、刀豆、小茴香、小蓟、山药、山楂、马齿苋、乌梢蛇、乌梅、木瓜、火麻仁、代代花、玉竹、甘草、白芷、白果、白扁豆、白扁豆花、龙眼肉(桂圆)、决明子、百合、肉豆蔻、肉桂、余甘子、佛手、杏仁(甜、苦)、沙棘、牡蛎、芡实、花椒、赤小豆、阿胶、鸡内金、麦芽、昆布、枣(大枣、酸枣、黑枣)、罗汉果、郁李仁、金银花、青果、鱼腥草、姜(生姜、干姜)、枳子、枸杞子、栀子、砂仁、胖大海、茯苓、香橼、香薷、桃仁、桑叶、桑椹、桔红、桔梗、益智仁、荷叶、莱菔子、莲子、高良姜、淡竹叶、淡豆豉、菊花、菊苣、黄芥子、黄精、紫苏、紫苏籽、葛根、黑芝麻、黑胡椒、槐米、槐花、蒲公英、蜂蜜、榧子、酸枣仁、鲜白茅根、鲜芦根、蝮蛇、橘皮、薄荷、薏苡仁、薤白、覆盆子、藿香.","丁香, 八角茴香, 刀豆, 小茴香, 小蓟, 山药, 山楂, 马齿苋, 乌梢蛇, 乌梅, 木瓜, 火麻仁, 玉竹, 甘草, 白芷, 白果, 白扁豆, 龙眼肉, 决明子, 百合, 肉豆蔻, 肉桂, 余甘子, 佛手, 杏仁, 沙棘, 牡蛎, 芡实, 花椒, 赤小豆, 阿胶, 鸡内金, 麦芽, 昆布, 大枣, 罗汉果, 郁李仁, 金银花, 青果, 鱼腥草, 生姜, 干姜, 枸杞子, 栀子, 砂仁, 胖大海, 茯苓, 香橼, 香薷, 桃仁, 桑叶, 桑椹, 桔红, 桔梗, 益智仁, 荷叶, 莱菔子, 莲子, 高良姜, 淡竹叶, 淡豆豉, 菊花, 菊苣, 芥子, 黄精, 紫苏, 葛根, 黑芝麻, 槐米, 槐花, 蒲公英, 蜂蜜, 榧子, 酸枣仁, 白茅根, 芦根, 蝮蛇, 橘皮, 薄荷, 薏苡仁, 薤白, 覆盆子, 藿香","丁香, 八角茴香, 刀豆, 小茴香, 小蓟, 山药, 山楂, 马齿苋, 乌梢蛇, 乌梅, 木瓜, 火麻仁, 玉竹, 甘草, 白芷, 白果, 白扁豆, 龙眼肉, 决明子, 百合, 肉豆蔻, 肉桂, 余甘子, 佛手, 杏仁, 沙棘, 牡蛎, 芡实, 花椒, 赤小豆, 阿胶, 鸡内金, 麦芽, 昆布, 大枣, 罗汉果, 郁李仁, 金银花, 青果, 鱼腥草, 生姜, 干姜, 枸杞子, 栀子, 砂仁, 胖大海, 茯苓, 香橼, 香薷, 桃仁, 桑叶, 桑椹, 桔红, 桔梗, 益智仁, 荷叶, 莱菔子, 莲子, 高良姜, 淡竹叶, 淡豆豉, 菊花, 菊苣, 芥子, 黄精, 紫苏, 葛根, 黑芝麻, 槐米, 槐花, 蒲公英, 蜂蜜, 榧子, 酸枣仁, 白茅根, 芦根, 蝮蛇, 橘皮, 薄荷, 薏苡仁, 薤白, 覆盆子, 藿香"
铁棍山药：药食同源之精品,卢松,"山药,药食同源,铁,精品,春节期间,专卖店,河南",龙年春节期间，包装精美、质量上乘的河南焦作铁棍山药成为人们走亲访友重要的礼物。近年来，在河南各地，铁棍山药的专卖店遍布大街小巷，已成人们耳熟能详的品牌。甚至铁棍山药还畅销到省外其他地区。,山药,山药
药食同源话枸杞,常明,"药食同源,枸杞子,营养滋补品,名贵中药材,国家卫生部,药用价值,历代医家,中国,医学,药品,物品,食品,地位","枸杞杞又称枸杞子,在中国的传统医学中有重要的地位,其药用价值备受历代医家的推崇.枸杞是传统名贵中药材和营养滋补品.枸杞除了可以当药材用外,也是国家卫生部规定的既是食品又是药品的物品.","枸杞, 枸杞子","枸杞, 枸杞子"
药食同源美味营养,左东黎,"药食同源,全国烹饪技术大赛,中国烹饪大师,哈尔滨商业大学,国家领导人,营养,美味,特级烹饪大师",李宝珠。高级技师，大专学历，中国餐饮文化大师、中国烹饪大师、国家一级评委、国际烹饪艺术大师、中国药膳大师、国家级药膳评委、黑龙江特级烹饪大师、第三届全国烹饪技术大赛评委、第六届全国药膳大赛副总裁判长。曾担任黑龙江省政府接待办餐饮总监、北方大厦接待处副处长总厨师长、中国御府宴总膳长满汉全席高级顾问、哈尔滨商业大学旅游烹饪学院专职教授、北京御府饮食文化艺术发展中心高级研究员。在余年的烹饪生涯中，多次出国进行技术指导、交流，并多次接待党和国家领导人，受到领导人的接见和好评。,李,李
药食同源话蜂蜜,雷明霞,"药食同源,蜂蜜,代谢异常,药物治疗,保健品,病菌,营养",有病吃药，这是大多数人都知道的常理。殊不知，病变大多是因人体内缺乏某种必需的元素而使得病菌乘虚而人，或因此而导致代谢异常所致。如果我们在进行药物治疗的同时辅助以食疗，调理好我们的内脏，那将会起到事半功倍的效果。据许多营养专家研究表明，蜂蜜是安抚我们五脏六腑最好的保健品之一。,蜂蜜,蜂蜜
药食同源——自己也能当医生,龚鹏,"药食同源,中医,中药,药物,药食两用,食物,草本植物,矿物药,王道,特点,石膏,芒硝,理想,昆虫,毒药,地龙,蝉衣","中药的来源十分广泛,以草本植物为主,也有矿物药(如石膏、芒硝)、昆虫(如蝉衣、地龙).许多中药具有药食两用的特点,中医主张王道,虽也有毒药,情非得已,一般不使用,希波拉底的理想""让食物成为你的药物,而不让药物成为你的食物"",中医在一定程度上能做到.","石膏, 芒硝, 蝉衣, 地龙","石膏, 芒硝, 蝉衣, 地龙"
药食同源说苦瓜,张建超,"苦瓜,药食同源,《本草纲目》","《本草纲目》中说.苦瓜可以""除邪热,解劳乏.清心明目"".下面介绍几款苦瓜食谱.",苦瓜,苦瓜
论药食同源之大蒜,李锡香,"大蒜,大蒜辣素,大蒜多糖,药理作用,产业发展,综述","大蒜是世界性的药食同源植物,其营养、药用成分及功能得到了广泛关注和研究.本文从传统医学实践到现代生物医学实验的不同层面和维度对大蒜的食用和药用价值,以及功能性成分、药理作用的国内外研究进展进行了综述,并讨论了大蒜的合理开发利用和药食产业发展前景.",大蒜,大蒜
药食同源食品金银花中绿原酸标准物质的研制与评价,"潘明飞,杨晶莹,李睿,刘凯欣,王硕","金银花,绿原酸标准物质,结构鉴定,定值评价","以药食同源食品金银花为原料,采用水溶-醇沉方法结合高压液相制备,优化目标成分绿原酸萃取、分离条件,制备了绿原酸标准对照物质并进行分析鉴定.采用红外光谱、紫外光谱、质谱和核磁H谱、C谱对获得的标准物质进行化学结构鉴定,以高效液相色谱配紫外检测器对获得的标准物质进行均匀性(瓶间、瓶内)和不同温度下的短期(周,常温,℃,-℃)、长期(个月,-℃)稳定性检验;采用同一方法多实验室联合定值方式进行定值分析.结果表明,研制的绿原酸标准物质纯度定值结果在％以上,有效期至少个月(-℃).结果表明,所制备的绿原酸标准物质纯度高,并具有良好的均匀性和稳定性,可用于金银花中绿原酸分析方法的确证和评价.",金银花,金银花
几种常见药食同源蔬菜的阳台种植方法,"龚攀,梁峥,陈曼,楚晓真",,"常见的药食同源蔬菜有板蓝根、马齿苋、鱼腥草、紫苏、蒲公英、藤三七、枸杞芽、小茴香、救心菜、地肤、藿香等,这些蔬菜不仅风味独特,还有一定的药用价值,长期食用有利于身体健康,深受人们喜爱.但这些蔬菜种植规模不大,又受季节限制,平常不易购买到,即使有些蔬菜能够购买到,但价格偏高,不利于推广种植.笔者研究阳台蔬菜多年,现将这些药食同源蔬菜的阳台种植技术总结如下,供市民在自家阳台上种植、食用.","板蓝根, 马齿苋, 鱼腥草, 紫苏, 蒲公英, 藤三七, 枸杞, 小茴香, 藿香","板蓝根, 马齿苋, 鱼腥草, 紫苏, 蒲公英, 藤三七, 枸杞, 小茴香, 藿香"
中药薤白药食同源功效探析,"王苗,张荣榕,马馨桐,马翠霞,严铭铭,邵帅,徐东铭","薤白,活性成分,药理作用,应用价值","薤白作为药食同源两用品,具有降血脂、抗肿瘤和解痉平喘等功效.文章通过对其生药来源、化学成分、药理作用和药食两用的价值来对薤白进行研究,通过查找CFDA、soopat、中国知网、维普、PubMed等数据库的相关资料对薤白的研究现状进行归纳总结.生药及历史记载方面:薤白早在《神农本草经》中就有记载,一直延续至今;活性成分方面,薤白主要含有甾体皂苷、多糖、生物碱、挥发油及其他类成分;药理活性方面,薤白具有抑制血小板凝集、抗菌、抗氧化等作用;开发利用方面,薤白复方药物申报的专利主要用于治疗心脏早搏等疾病,其提取物及有效组分用于防治代谢综合征或型糖尿病;应用价值方面,薤白可以是防腐剂,也可以是调味料,丰富了人们的日常生活所需.",薤白,薤白
两种药食同源植物总生物碱的提取及其抗氧化作用,"王亚冬,李秀梅,潘方方,张海英,杨培龙,马文建","马齿苋,蒲公英,超声破碎提取法,总生物碱,抗氧化活性","通过考察两种药食同源植物总生物碱提取率及抗氧化作用,为两种植物作为天然抗氧化剂的应用提供一定理论依据.采用超声波破碎法提取两种植物(马齿苋、蒲公英)的总生物碱,考察乙醇浓度、料液比、提取溶剂pH值、超声时间、超声功率和超声温度对两种植物总生物碱提取率的影响,确定两种植物总生物碱适宜提取条件.在两种植物适宜的总生物碱提取条件下,考察两种植物总生物碱提取率及抗氧化作用.试验结果表明,两种植物总生物碱提取率相差不大,马齿苋总生物碱提取率为.％,蒲公英总生物碱提取率为.％;通过考察不同质量浓度两种植物总生物碱提取物的总抗氧化能力,对ABTS+·、DPPH·、超氧阴离子、羟基自由基的清除能力和总还原能力,发现这两种植物总生物碱提取物都具有良好的抗氧化活性,可作为潜在的天然抗氧化剂在食品中应用.","马齿苋, 蒲公英","马齿苋, 蒲公英"
药食同源植物丁香各部位抗营养因子分析,"刘积光,高玉梅,刘平怀","抗营养因子,丁香,植酸,胰蛋白酶,单宁酸,非淀粉多糖,植物凝集素","结合食品饲料安全国家标准以及文献方法,对药食同源丁香植株花蕾、果实、枝、叶部位的抗营养因子进行研究分析.结果表明:丁香花蕾、果实、枝、叶各部位的主要抗营养因子含量均处于食品或饲料的正常范围.植酸含量果实最低为.mg/g.胰蛋白酶抑制剂活性各部位较接近,其中果实含量最高为.mg/g.植物凝集素含量叶最低,微凝血试验中果实和叶表现出微弱的凝血反应.单宁酸含量枝最低,草酸含量花蕾最低.可溶性非淀粉多糖含量果实最低,含量为.mg/g.从几类主要抗营养因子含量来看,各部位含量均较接近,且各抗营养因子在各部位中的含量趋势都有所不同且各有高低.",丁香,丁香
