,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,篇名,作者,关键词,摘要
397,397,397,397,397,397,酸枣仁油的研究与开发进展,"孙明哲,张闪闪,闫琳,郑晓杰,李晓燕","酸枣仁油,提取工艺,成分,生物活性,药食同源","酸枣仁油取自药食同源的酸枣仁,是一种安全的保健食用油,综述近年来有关酸枣仁油的提取工艺、组成成分分析及其生物活性研究,为酸枣仁油的进一步开发与应用提供参考.现有研究表明,酸枣仁油生产工艺简单,成品油中含有大量不饱和脂肪酸,其中油酸和亚油酸含量最高,同时还含有多种脂溶性成分.酸枣仁油具有多种生物活性,如镇静催眠、改善记忆力、抗抑郁、抗氧化、血脂调节及抗肿瘤等,但其发挥生物活性的物质基础及作用机理尚未完全明确,有待进一步研究.酸枣仁油的安全及多活性特点赋予其巨大的开发与应用潜力,相关产品具有广阔的市场前景."
398,398,398,398,398,398,栀子饲用安全性的评定,"张震宇,张吉鹍","药食同源,栀子,毒性,奶牛,饲料添加剂","本文从古医典籍,法规、药典的记载论证了药食同源中草药栀子的食用安全性,同时综述了大剂量服用栀子所导致的肝、肾、胃中毒及其研究进展.指出栀子无论作为食品或是保健品,都必须按规定剂量服用,才不至于对机体造成危害.具有药食同源功效的栀子,既然可以用作人类食品与保健品,那么也就完全可以用于制作包括奶牛在内的畜(含宠物)、禽、水产饲料,市场潜力巨大.建议就栀子在各种动物饲料中的最佳用量、超微粉碎工艺及饲喂效果做进一步的验证研究."
399,399,399,399,399,399,岭南儿科治疗用药特色初探,"杨京华,李彦昕,王莲玉,高奎杰","岭南儿科,岭南医学,用药特色,固护脾胃,温清并进,药食同源,外治法","岭南儿科学作为岭南医学的重要分支,具有明显的地域特色.岭南儿科治法用药特色鲜明,主要表现为:()固护脾胃,运脾和中先行,同时注重疏肝健脾及平肝补脾泻心.立足中焦脾胃,则可治小儿湿温、小儿五脏疾病;()清法见长,不远温补,体现在用药清凉,温清并进;()擅用岭南草药,如独脚金、孩儿草、青天葵、布渣叶、芒果核、鸡蛋花、木棉花等;()药食同源""治未病"",如针对四季调养的食疗方如疏春方、健夏方、安秋方、暖冬方等;()灵活运用小儿推拿、刮痧、热奄包、放血疗法、针灸等外治法.总结岭南儿科治法用药特点,可为现代儿科临床提供参考."
400,400,400,400,400,400,工坊啤酒在中国的新发展,"陈熙,蒲顺昌,丁斌,张胜利,刘西岭,张敏","工坊啤酒,风味,健康,药食同源","啤酒行业近几年有了新的发展,涌现出越来越多的工坊啤酒企业,并进行了大量的研究工作用以开发新技术和新产品.这些工坊啤酒或多或少融合了大众啤酒的风格,但又有所不同.其中有种类型的工坊啤酒最具代表性——低醇或无醇啤酒、低卡路里啤酒、果味啤酒和功能性啤酒.随着药食同源食品种类的丰富和工坊啤酒的中国化,未来功能性啤酒可能将引领工坊啤酒的发展.本文对工坊啤酒的新发展进行了概述."
401,401,401,401,401,401,粤菜药膳文化与立法冲突的探究,"朱明珊,李愫君","药膳,药食同源,食品安全,立法","药膳文化在我国由来已久,国内许多地区及其菜系中皆有药膳的身影.其中粤菜文化尤为崇尚养生保健,药膳文化是其不可分割的重要部分.故药膳文化在岭南地区膳食历史以及岭南民众心目中均占有重要地位.但在我国的《食品安全法》中就药食同源的规定以及目录范围较窄、更新速度较慢等导致立法期待效果与现实差距甚远,甚至出现与民众饮食习惯相悖的情形.本文通过实地走访调研以及对文献进行查阅分析对先行的药食同源规定进行思考并提出建议."
402,402,402,402,402,402,养生蔓越莓奶冻的研制及其质构特性分析,"姚洪礼,向敏,刘西岭,臧春晓,程非凡,陈国强,蒲顺昌","药食同源类植物,奶冻,质构特性参数,药用价值","目的:将药食同源类植物花果与西式甜点结合,研究开发了以酸枣仁、亳菊、枸杞、蔓越莓干、牛奶、椰浆以及吉利丁片为主要原料的一种新型的养生蔓越莓奶冻,并对所得奶冻的上下层进行了质构分析.方法:结合感官评定实验,采用正交试验设计方法对养生蔓越莓奶冻上层和下层各成分添加量进行了优化,并利用质构仪对奶冻质构特性参数进行测定.结果:确定了养生蔓越莓奶冻的最佳配方:牛奶.％,椰浆.％,吉利丁片.％,水.％,酸枣仁.％,枸杞.％,蔓越莓干.％,木糖醇.％,桂圆.％.实验还确定了最佳配方下的养生蔓越莓奶冻的质构特性参数.结论:开发的养生蔓越莓奶冻,不仅营养丰富、风味独特、且药用价值高."
403,403,403,403,403,403,人参龙眼阿胶蜜膏工艺研究,"刘恬佳,赵宏宇,闫向竹","人参龙眼阿胶蜜膏,中医理论,药食同源,提取工艺","以药食同源药材人参、龙眼肉、阿胶、山楂、干姜和酸枣为原料,利用药食同源的资源特色和优势,开发出一种可以有效缓解睡眠、健脾养血、益气安神的养生产品.采用正交试验设计方案最终确定最佳提取方法,最终确定提取时间为.h、加水量倍、提取次数次、蜂蜜添加量为％时感官评分最高."
404,404,404,404,404,404,中医药膳原料的应用研究,"范文昌,莫妙玲,蔡丽华,梅全喜","药膳原料,谷粟豆类食物,功效分类,药食同源","随着社会经济的发展,人们的健康意识逐渐增强,药膳作为一种预防亚健康的安全有效方式,越来越受到大众的喜爱.通过分析种谷粟豆类食物的功效,发现其中具有健脾和胃功效的最多,有种;种蔬菜类食物,最多的是具有清热解毒功效的食物,有种;种禽畜水产类食物,补气健脾功效的最多,有种;种水果和坚果类食物,具有生津止渴功效的最多,有种;总结了种药食同源的功效,最多的是具有温中散寒功效的药物,有种.对药膳所需原料进行归类整理,根据功效分类进行总结分析,为药膳制作提供参考依据."
405,405,405,405,405,405,哮喘患者中医膳食调护,孙成功,"哮喘患者,中医,急性发作,呼吸系统疾病,饮食调护,发病率,药物治疗,药食同源,日常饮食,临床治疗,临床数据,居民健康,环境问题,过敏性,症状,显示,危害,特效,食物,疗法","哮喘是一种发病率较高的呼吸系统疾病,尤其是在近些年来,随着环境问题的突出,这一疾病的发病率有增无减,成为了危害居民健康的一种主要疾病.哮喘疾病目前尚无特效疗法,无法根治,临床治疗主要以缓解症状、减少急性发作为主.但是对于哮喘患者来说,仅仅依靠相应药物治疗是远远不够的,生活中的注意诸多.尤其是饮食,因此,临床数据显示,大约有超过%的哮喘患者对某些食物存在过敏的问题,当摄入过敏性事物时,会诱发患者出现急性发作.因此,哮喘患者在日常饮食中切不可吃错东西,否则有引起急性发作的风险.但同时,从中医药食同源的角度来讲,合理的饮食调护,又能够达到有效改善疾病的目的.那么,对于哮喘患者来说,在日常生活中,到底该如何进行饮食调护呢?"
406,406,406,406,406,406,张念志治疗妊娠期合并上呼吸道感染,"陈晶晶,张念志","妊娠,上呼吸道感染,药食同源,张念志","张念志教授根据疾病发作特点和妊娠期妇女特有的生理特征,认为妊娠期合并上呼吸道感染的病因主要与风、热、阴虚有关,病机特点是以风热犯肺为标,以肺肾阴虚为本.张教授创新性地将中医经典理论与现代医学模式相结合,临床诊疗特色为推崇滋阴宣肺,辛凉清解,兼顾治病安胎,中病即止;强调用药安全,药食同源;重视健脾益气,培土生金,畅调情志及饮食,重在防护."
407,407,407,407,407,407,食疗与四气五味理论,"赵青,马光怀","食疗方法,四气,养生,伤寒杂病论,民以食为天,治疗作用,饮食保健,饮膳正要,药食同源,食疗本草,圣济总录,千金要方,历代医家,张仲景,薏苡仁,孙思邈,赤小豆,紫苏,著作,脏腑","一古人对食疗的重视_xD_
民以食为天,历代医家和养生家都非常重视饮食保健,主张药疗不如食疗.《素间·五常政大论》云:""大毒治病,十去其六;常毒治病,十去其七;小毒治病,十去其八;无毒治病,十去其九.谷肉果菜,食养尽之,无使过之,伤其正也"",明确提出了食物的养生治疗作用.医圣张仲景在《伤寒杂病论》中用大枣、生姜、紫苏、乌梅、赤小豆、薏苡仁、山药等""药食同源""之品治疗外感杂病,可见其对食疗的重视.药王孙思邈崇尚养生,并身体力行,其所著《千金要方》食治篇中有云:""知其所犯,以食治之,食疗不愈,然后命药"",又云:""安身之本必资于食,食能排邪而安脏腑,悦神爽志以资气血,若能用食平疴,释情遣疾者,可谓良工"",足见其对食疗的重视.宋代《圣济总录》专设""食治""门,介绍各种疾病的食疗方法.《食疗本草》《食性本草》《饮膳正要》《随息居饮食谱》等著作的出现,充分体现了食疗的重要性."
408,408,408,408,408,408,三七药膳祛病延年,王让湘,"三七,药膳,药食同源植物,心脑血管疾病,葡萄糖醛酸,脑溢血后遗症,机体免疫功能,黄酮类化合物,预防和治疗,游离氨基酸,人参属植物,名贵中药材,改善微循环,滋补强壮,止血,医学研究,外伤出血,溶解血栓,扩张血管,活血化瘀","三七为五加科人参属植物,以根、根状茎入药,是中国特有的名贵中药材,也是我国最早的药食同源植物之一,是天然的保健品.三七味甘、微苦,性品;入肝、胃、大肠经.现代医学研究发现,三七含皂苷类、止血活性物质、黄酮类化合物、生物碱、蛋白质、糖类(葡萄糖、木糖、葡萄糖醛酸、蔗糖)、脂肪油、挥发油、树脂、核苷(腺嘌呤苷、尿嘧啶)、游离氨基酸、B-谷甾醇、胡萝卜素和较多的钙离子,具有止血、活血化瘀、消肿定痛、滋补强壮、抗疲劳、耐缺氧、抗衰老、降血脂、降血糖、提高机体免疫功能等作用.可用于治疗外伤出血、瘀血、胃出血、尿血等各种内、外出血症;扩张血管,溶解血栓,改善微循环,预防和治疗高血脂、胆固醇增高、冠心病、心绞痛、脑溢血后遗症等心脑血管疾病;脂肪肝、肝纤维化等肝病以及失血、产后、久病等原因导致的体虚证."
409,409,409,409,409,409,药膳真的有效吗?,王嘉锐,"药膳,防病治病,营养师,药物配伍,食物,中医食疗,中医理论,脏腑功能,阴阳平衡,药物功效,药食同源,泰国曼谷,膳食,康复保健,调节人体,中医药,治疗学,卫生学,同仁堂,烹饪学","药膳就是在中医理论指导下,运用营养治疗学、营养卫生学和烹饪学等相关知识,根据药食同源、养医同理,发挥各类食物与药物功效,研究药物与食物结合,以达到防病治病、康复保健、养生延年目的._xD_
药膳是中医食疗的表现形式,将具有不同功用的中药与食物制成膳食,经常有人问我""药膳真的有效吗?""通过我在泰国曼谷天津同仁堂御膳厅从事中医药营养师的实践来看,有些药膳用有特殊功能的药物配伍,做成膳食,不仅能大快朵颐,还能调节人体气血阴阳平衡,恢复脏腑功能,起到祛病疗疾的作用.今就我曾用过的传统及经验药膳方,整合及推介几款防病治病的药膳."
410,410,410,410,410,410,基于VOSviewer对灵芝的国内研究热点分析和风险点挖掘,"司玮,李明,李尧,刘晶,周杰","灵芝,药食同源,知识可视化,文献分析,研究热点","目的对近十年灵芝有关研究文献进行共词分析,形成可视化图谱,分析研究热点和挖掘风险点.方法对年～年篇灵芝有关的国内文献进行统计分析,分别导入文献题录信息统计分析工具和知识可视化软件进行研究.结果灵芝有关研究集中在五大领域,得出个研究热点和个使用风险点.结论灵芝进入食药同源新增目录,在食品领域有巨大的应用价值,且安全可靠,但在药用方面须注意中药注射剂过敏反应、其它组分的肝损害作用以及药材中的重金属的含量等风险点."
411,411,411,411,411,411,沙棘果渣膳食纤维咀嚼片的工艺,"刘维汐,张存莉","沙棘果渣,膳食纤维,药食同源,咀嚼片","试验以沙棘果渣与肠胃保健药食同源材料为主要原料,制备沙棘膳食纤维咀嚼片.通过设计正交试验优化配方,确定最佳工艺为:总料质量g时,沙棘果渣g、山楂g、低聚异麦芽糖g、蜂蜜g、酵母粉g、麦芽g、鸡内金g、魔芋精粉g.制备的咀嚼片口感细腻、酸甜可口,具有润肠通便、促进消化的功效."
412,412,412,412,412,412,芡实药学研究进展,"刘新胜,李昕璐,付学奇,韩璐,常浩","芡实,药食同源,化学成分,药用功效,痛风性关节炎","芡实是药食同源佳品,是睡莲科芡的干燥成熟的种仁,主要药用成分有环肽类、黄酮类、脑苷脂类、多酚类、甾醇类、矿质元素类等.芡实的淀粉含量高,可为人体提供充足的热量.近几年,芡实的药学研究取得了重大的进展,在临床应用上也较为广泛.目前芡实已应用于胃黏膜损伤、糖尿病、脾肾阳虚、慢性肠炎、腹泻、中风后遗症、肾小球肾炎、骨关节炎、痛风性关节炎等疾病的治疗."
413,413,413,413,413,413,枸杞之约,余悦,"枸杞子,酸浆果红素,神农本草经,名贵中药材,营养成分,药食同源,保健功效,玉蜀黍,甜菜碱,氨基酸,茄科,耐寒,历史,老子,黄素,灌木","枸杞,又称枸杞子、红耳坠、地骨子,是茄科小灌木枸杞的成熟子实.枸杞子药食同源的历史悠久,是驰名中外的名贵中药材,早在《神农本草经》中被列为上品,称其为“久服轻身不老、耐寒暑”,有延衰抗老的功效,又名“却老子”.枸杞子中含有多种氨基酸,并含有甜菜碱、玉蜀黍黄素、酸浆果红素等特殊营养成分,使其具有非常好的保健功效."
414,414,414,414,414,414,黑芝麻的营养成分及保健价值研究进展,"封铧,张锦丽,李向阳,唐晓珍,吴澎","黑芝麻,营养成分,药食同源,保健价值","黑芝麻营养丰富,作为药食同源物质具有保护肝肾、抗肿瘤、消炎杀菌、抗氧化、抗衰老、防止动脉粥样硬化、调节血脂、保护神经等功效.综述了黑芝麻的营养成分和保健功能,并对目前存在的问题进行了分析和展望,为黑芝麻的进一步研发和利用提供参考."
415,415,415,415,415,415,以苦瓜提取物为主的复方食疗方法对调理糖尿病及并发症的作用研究,"何青芩,杨涵,邹宇,吴春梅","苦瓜,复方食疗,降糖机理,药食同源,控制并发症","该文对主要成分苦瓜的营养成分和几种重要药食同源中药复方调理糖尿病进行了综述,并对复方食疗方法降低血糖﹑控制并发症机理进行了探讨."
416,416,416,416,416,416,植物提取物对育肥猪生长性能、肉品质及营养成分的影响,"郑梓,闫峻,穆淑琴,李宁,李平,马墉,李千军","育肥猪,药食同源植物提取物,生长性能,肉品质,营养成分","选择头杜×长×大三元杂交猪为研究对象,试验组在基础日粮中添加g/kg药食同源植物提取物.结果表明,与对照组相比,试验组猪终末重、日均采食量和日增重分别提高.％、.％和.％,料重比降低.％(P<.);眼肌面积增加.％(P<.);猪肉的亮度、红度、黄度、pHmin、pHh较对照组分别提高了.％、.％、.％、.％和.％(P>.),背膘厚、失水率、剪切力较对照组分别降低了.％、.％、、.％(P>.);背最长肌中棕榈酸、棕榈油酸、油酸、亚油酸和亚麻酸含量分别提高.％、.％、.％、.％和.％,豆蔻酸、硬脂酸和芥酸含量分别降低.％、.％和.％,脂肪和胆固醇降低.％和.％,无药物残留."
417,417,417,417,417,417,决明子的主要化学成分和药理作用研究进展,"李春晓,王月明,韦东来,贺尚文,李秋月,董虹","决明子、中药、有效成分,药食同源","决明子被称为""为君主养命以应天""的上药,具有较高的食用和药用价值.本文主要以决明子主要化学成分为切入点,综述了决明子作为一种药食同源的常见中药在降血压、降血脂、清肝明目、抗衰老、抑制肥胖、抗衰老等方面的作用,以为决明子的日常应用以及药用提供一定的参考."
418,418,418,418,418,418,日本功能性食品发展对中国药膳产业发展的启示,"夏新斌,刘金红,谢梦洲,黄惠勇,李玲","功能性食品,药膳,药食同源","概述并总结了日本功能性食品发展的历程、发展特点及管理经验,提出其对中国药膳产业发展的启示,指出政府主管部门应明确管理责任,加强市场监管,同时企业需要加大科技创新,吸取中华优秀的中医文化,发掘药食同源的产品精髓,努力地开发出新产品."
419,419,419,419,419,419,基于电子鼻技术对中药渣掺伪调味料的快速检测,"刘亚雄,刘丛丛,庄玥,罗卓雅","电子鼻,调味料,药食同源,中药渣,掺伪","建立药食同源中药渣掺伪调味料的电子鼻快速检测方法.采用便携式PEN电子鼻分别对掺伪有不同比例八角渣、花椒渣、肉桂渣等的调味料进行检测,用线性判别式(LDA)与多层感知器(MLP)种方法对数据进行分析.该方法能够快速、有效识别掺伪不同比例药食同源中药渣的调味料,多层感知器相较于线性判别具有更好的区分效果,并且可对未知样品进行准确预测."
420,420,420,420,420,420,食疗文化传承——由《千金方》至黑谷道康奥黑谷粥,"杨溢,王雪梅,朱晓光,谭建,王雅南","《千金方》,黑谷道康奥黑谷粥,食疗,药食同源,文化传承","本文以食疗为主线,论述了由《千金方》到黑谷道康奥黑谷粥的食疗文化传承的新形式.黑谷道康奥黑谷粥汲取了以《千金方》为主的古代典籍中的食疗理念元素""药食同源"",并结合现代食疗理论和现代高科技技术加工制作而成.黑谷道康奥黑谷粥作为唯一一款国家级非物质文化遗产的传统饮食名录中的粥类食品,不仅能改善人们的健康状况,更有利于中国食疗文化药食同源的传承和发展,是中国健康食品行业的创新产物."
421,421,421,421,421,421,春季厨房里的天然『药』,夏军,"春季,厨房,榆树,安神,祖国医学,药物作用,药食同源,现代研究,神经衰弱,抗坏血酸,防治疾病,中医学,无机盐,磷含量,烟酸,心经,水分,食物,失眠,上市","早在千年前,祖国医学就已发现有些食物具备药物作用,可以用来防治疾病,这形成了独特的『药食同源一理论.春季时令蔬果上市,快看看厨房里有哪些天然『药』._xD_
榆树钱:天然的安神丸_xD_
春风回暖,榆树钱也挂上了枝头.中医学认为,榆树钱性平,入肺、脾、心经,具有健脾安神、清心降火等功效,现代研究证实,榆树钱中含有大量水分、烟酸、抗坏血酸及无机盐,其中钙、磷含量较为丰富,可缓解神经衰弱、失眠,是春季天然的“安神丸”."
422,422,422,422,422,422,"""肉多多""的美味仙人掌","陶宪凝,华华","仙人掌,多肉植物,生命力顽强,小郎,观赏植物,书桌,米邦塔,药食同源,中医学,手掌","近几年,家中种植的观赏植物中,多肉植物颇为流行.名如其物,多肉植物以肥厚多汁、储备着大量水分的肉质组织为特点,看上去肉嘟嘟,十分惹人喜爱,是老少咸宜的种植佳品.对租房一族来说,最小的多肉植物仅有手掌大小,可以随意地摆放在书桌上;对于阳台面积大的家庭来说,可同时种植多种.在众多多肉植物中,仙人掌又以生命力顽强的优点独领风骚.而在中医学中,仙人掌可不是仅供观赏的""带刺少女"",还是药食同源的""小郎中"".仙人掌原产自墨西哥,在当地"
423,423,423,423,423,423,大健康分享—金丝皇菊,"胡柿红,白静,刘雪飞","健康饮食,食用价值,药食同源,菊科植物,观赏价值,药用价值,药理功效,菊花",金丝皇菊是一种药食同源的花卉。我国自古就有赏菊，吃菊的习惯，一直延绵了数千年，菊花宴成为一种独具特色的健康饮食。金丝皇菊为菊科植物，具有很高的饮用价值、食用价值、药用价值及观赏价值。皇菊的药性比其它的菊花稍弱，相比之下更适合饮用和食用，但它同样具备菊花的药理功效。
424,424,424,424,424,424,怎样看待“养生菜”,Colin,"生菜,百合粥,膳食,银耳,药食同源,补气,食材,煲汤,食疗,摄入","进入冬季,一些餐馆纷纷推出了＂养生菜＂、＂养生粥＂等养生菜肴,宣称既有营养,又有保健疗效。比如,红豆莲子百合粥能祛火补气,银耳白果粥能健脾美容等。同时,也有很多人在家里制作养生菜肴,希望达到养生甚至治疗的效果。在膳食中加入一定比例的中药做成菜肴或其他食物,是营养更高还是有治疗效果？养生菜不是药膳在中国的传统饮食中,一直有＂药食同源＂的说法,在很多地区尤其是在南方地区,"
425,425,425,425,425,425,五行系列产品的开发工艺研究,"刘恬佳,赵宏宇,闫向竹","中医五行,药食同源,生产工艺","根据中医五行理论,以五色、五味、五谷、五果等药食同源药材和食材组成系列处方并建立合理工艺.其中,对熟化、粉碎两大工艺进行主要考察,确定最优工艺,研制开发适用于调理五脏的五行系列功能食品."
426,426,426,426,426,426,中医绿色药膳房—芋头的药食功效研究,"段文倩,孙河龙,金书情,耿雯雯,路海涛,楚子琰,郭宵飞","药食同源,芋头,中医","古圣贤称""药食同源"",认为中药与食物均可用于防治疾病.现有营养和功能成分均较为丰富,却鲜为人所了解的芋头亟待开发.因此,本文将对我国芋头药食价值及相关研究进行具体分析,为芋资源的保护以及合理开发利用提供依据,为人们科学地选购食材、合理营养、保证膳食平衡提供指导意见,以达到增强体质、预防疾病、增减健康的目的,充分利用芋的药用价值,与饮食相结合,改善人体亚健康,并为相关疾病提供药膳参考,传承中医思维,发扬中医药文化."
427,427,427,427,427,427,市面上卖的山楂片有消食作用吗？,陈洪燕,"山楂片,消食,消化不良,药食同源,中药","岁的小陈还在上高中,因为住校吃不好,所以每次回家,妈妈都要准备很多好吃的,小陈总是吃得太饱,导致消化不良。于是她经常买山楂片来吃,希望能消食。请问,市面上卖的山楂片有消食作用吗？问：市售山楂片可以消食吗？与中药山楂是不是一回事？答：山楂是一种药食同源的中药,市面上卖的山楂片属于食品,是以山楂为主要原料."
428,428,428,428,428,428,不同饲料对黑土鸡和商品鸡鸡蛋的营养素评价,"朴海明,文韬,金虹,闫姝琪,南昇晨,李香俊","鸡蛋,药食同源,营养素","目的:要了解黑土鸡蛋比普通商品鸡蛋的优势所在,分析及合理推测原因,为促进延边黑土鸡鸡蛋畅销提供依据,提供安全安心的鸡蛋做出贡献.方法:用含药食同源中草药的饲料喂养延边黑土鸡,下蛋后与市场上购买的普通商品鸡蛋比较蛋中的营养素含量.结果:与普通商品鸡蛋相比,黑土鸡蛋中的胆固醇及钙、铁、锌、硒等元素都更高,且差异均有统计学意义(P<.).结论:用含药食同源中草药的饲料进行喂养的黑土鸡鸡蛋中的营养成分更丰富."
429,429,429,429,429,429,“西瓜翠衣”不要扔,盛英,"西瓜皮,清热解暑,药食同源,通利小便",西瓜甘甜多汁、生津解渴。绝对是夏季解暑水果之首选。很多人吃西瓜都把西瓜皮丢弃了，却不知这西瓜皮可是防治疾病的药材，也是上好的食材，自古就是药食同源之品。西瓜皮还有个文雅的名字——西瓜翠衣。中药里的西瓜翠衣是指西瓜最外面的那层青皮，其味甘，性寒，入胃经。能清热解暑、泻热除烦、通利小便等。
430,430,430,430,430,430,傣族医药的食疗保健方法与技术的现状探析,"金锦,倪凯,郭世民,高敏,夏亮","傣族,饮食文化,药食同源,饮食保健","人类的生命活动必须依靠摄取食物来维持.人类为了生活与健康,必须寻找食物,而食物的属性与医药的属性息息相关,通过从饮食文化的角度简要阐述了傣族药食同源的主要特点,初步阐述傣族医药中药食同源对人体健康、以及防治疾病的文化理念."
431,431,431,431,431,431,家中备中药应对小病痛,陈延,"单味中药,病痛,现代家庭,药食同源,中成药,感冒药,退热药,止痛药",现代家庭一般都会备个小药箱，以备不时之需，但药箱里常常是以西药为主，辅以一些中成药，如感冒药、退热药、止痛药等。其实，我们家里也可以常备一些单味中药（许多是药食同源之物），它们在日常生活中用起来简便，发挥的作用往往却很大很有效。
432,432,432,432,432,432,食借药之力药助食之功,蒋平,"“药食同源”,中医养生保健,神农尝百草,物质基础,相辅相成,传统文化,中国饮食,食物",“药食同源”是中医养生保健的强大物质基础，占据重要地位，所谓“安身之本，必资于食”“食借药之力，药助食之功”，二者相辅相成，突出显示了“药食同源”在中医养生保健中的独特优势。中国饮食受传统文化的影响，自古以来，药食同源，许多中药本身就是食物，如八角、茴香、佛手、白果、葱、姜等。药物和食物的渊源，尤其反映在“神农尝百草”的典故上。
433,433,433,433,433,433,厨房里的“食物医生”,王佳妮,"食物,医生,厨房,“药食同源”,药物作用,现代科学,防病治病",中医讲究“药食同源”，早在千年前，祖先就已发现有些食物具备药物作用，可以用来防治疾病。如今，这些观点得到了现代科学的佐证。近日，美国“罗德尔新闻网”综合多项最新研究指出，厨房里有个“食物医生”，它们都是防病治病的高手。
434,434,434,434,434,434,"""荷叶饮""对小鼠脂代谢影响的实验分析","张冀莎,宋颖星","荷叶饮,脂代谢,小鼠,药食同源","目的通过建立脂代谢紊乱的肥胖动物模型,运用三元相图分析法检测在造模过程中及给药前后脂代谢相关指标的影响变化,探讨""荷叶饮""对脂代谢的影响.方法选取周龄SPF级雄性CBL/J小鼠,造模后,进行分组给药,观察体重,脂代谢系数等,比较荷叶饮的作用.结果对肥胖小鼠进行荷叶饮给药后,荷叶饮组Lee's指数、CHO、TG等较模型组有一定程度的降低.对脂代谢影响效果低于阳性对照组.结论自拟中药""荷叶饮""对小鼠脂代谢有一定积极效应.自以现代人不良生活方式为契合点,选取毒副作用小的药食同源药物,具有一定的推广性,实用性比较强.且以高热量饮食诱导小鼠肥胖模型的造模方式,切合现代人发病特点,研究探讨造模过程中脂代谢紊乱与肥胖的相关性,丰富了中医药防治现代人代谢类疾病的科学内涵,拓展了中医药的现代临床运用."
435,435,435,435,435,435,一起月子会所未取得《医疗机构执业许可证》从事诊疗活动案引发的思考,"张仕国,孙利平,薛梅,贾红武,张金鸣,张晓美","月子会所,非法所得,药食同源","本文通过对一起月子会所未取得《医疗机构执业许可证》从事诊疗活动的查处情况进行分析,从违法行为、非法所得的认定以及药食同源的物质在案件中该如何处理等方面进行了详细的阐述,最后对“月子会所”作为一种新兴产业该如何监管提出了自己的见解和看法."
436,436,436,436,436,436,发酵型保健黄酒的研究进展,"邢爽,丁斌,蒲顺昌,姚洪礼,刘露,向敏","药食同源中药,果蔬,酿造工艺,保健黄酒","保健黄酒是特种黄酒的一种,本文主要从保健黄酒的功能因子来源及其酿造工艺对近年来保健黄酒的研究与开发进展进行了综述,并对目前保健黄酒的研究现状及消费市场上的问题进行了分析,以期为后续发酵型保健黄酒的研究与开发、功能性成分检测分析及其质量体系的构建提供参考."
437,437,437,437,437,437,木蝴蝶育苗技术,张晓明,"木蝴蝶,Oroxylumindicum,种子,育苗,药食同源树种",从种子采集与处理、装袋作床、播种、苗期管理、病虫害防治、苗木出圃等方面介绍木蝴蝶(Oroxylumindicum)实生袋苗的培育技术.
438,438,438,438,438,438,近红外光谱法快速测定益智不同药用部位的水溶性浸出物含量,"李荣,李俊妮,温金凤,翁文烽,郭焕佳,王东,严寒静,刘红秀,姬生国","益智仁,益智壳,药食同源的中药材,浸出物含量,近红外光谱,快速分析","目的:建立快速测定益智仁和益智壳中水溶性浸出物含量的近红外光谱模型.方法:通过近红外光谱结合化学计量学建立水溶性浸出物的定量分析模型.结果:益智仁样品的水溶性浸出物含量在.％～.％之间.益智仁中水溶性浸出物的近红外光谱定量分析模型的内部交叉验证决定系数(R)为.,校正均方差(RMSEC)为.,预测均方差(RMSEP)为..益智壳样品的水溶性浸出物含量在.％～.％.益智壳近红外分析模型的R为.,RMSEC为.,RMSEP为..结论:该方法建立的模型可用于益智仁和益智壳中水溶性浸出物的定量分析,并可为益智的质量评价体系的建立提供基础."
439,439,439,439,439,439,预防仔猪腹泻的中草药组学型替抗产品中味清热解毒中草药营养活性作用分析,张吉鹍,"药食同源,杨树花,马齿苋,蒲公英,鱼腥草,营养活性物质,组合效应,整体集成调控技术","文章介绍了预防仔猪腹泻的中草药组学型替抗产品中所用到的杨树花、马齿苋、蒲公英以及鱼腥草味清热解毒中草药所含的营养活性物质及其营养活性作用与组合应用,旨在阐明预防仔猪腹泻的中草药组学型替抗产品的设计思路."
440,440,440,440,440,440,"基于健康中国战略背景下提出""护士饮食处方""的必要性","韩世范,王丽,司霞,刘梦玥","护士,饮食处方,慢性病,药食同源,健康中国","基于健康中国战略背景下,结合国内外慢性病病人饮食营养干预现状,分析我国饮食营养干预落实过程中存在的问题,提出给予护士饮食处方权的必要性,并创新性地提出""护士饮食处方""这一概念,以更好地推进我国慢性病病人的饮食营养干预工作."
441,441,441,441,441,441,浅谈中药代茶饮的产生及其发展,"于嘉,郭玉娟,张愿,高山","药食同源,中药代茶饮,辨证论治,养生保健","早在上古时期,我们的祖先就已经发现了茶药用价值,在后来的历史变迁中,人们对茶的认识更加深刻,对其需求发生了改变,因此产生了中药代茶饮的新形式.所谓中药代茶饮,即在中医理、法、方、药的基本理论指导下,以""辨证论治""、""未病先防,既病防变""为治疗原则,结合患者临床实际情况为养生保健、防病治病、延年益寿而选药组方制成的剂型.其理渊道博,具有简单方便、快捷有效、适用性广等特点,在养生保健领域的影响越来越受到重视.故本文对中药代茶饮的产生及其发展过程进行简单的探讨."
